"dataset_id","module","beta_processed_main","SE_processed_main","P_processed_main","sample_n_processed_main","formula_processed_main","BH_FDR_processed_main","beta_additional_quantile","SE_additional_quantile","P_additional_quantile","sample_n_additional_quantile","formula_additional_quantile","BH_FDR_additional_quantile","score_correlation","FDR_status_change"
"AD_GSE5281","WGCNA_turquoise",-0.0390050273966269,0.142979728354801,0.785369220274571,161,"descriptive score_z ~ diagnosis + region",0.819515708112596,-0.0390050273966269,0.142979728354801,0.785369220274571,161,"descriptive score_z ~ diagnosis + region",0.819515708112596,1,FALSE
"AD_GSE5281","WGCNA_yellow",0.222200538417918,0.144862400065848,0.127099499746795,161,"descriptive score_z ~ diagnosis + region",0.160546736522267,0.222200538417918,0.144862400065848,0.127099499746795,161,"descriptive score_z ~ diagnosis + region",0.160546736522267,1,FALSE
"AD_GSE33000","hepatic_acute_phase_response_module",0.988612916181226,0.104006425511759,1.08431012148522e-19,467,"score_z ~ diagnosis + age_z + sex",4.15652213236001e-19,0.988612916181226,0.104006425511759,1.08431012148522e-19,467,"score_z ~ diagnosis + age_z + sex",4.15652213236001e-19,1,FALSE
"AD_GSE33000","hepatic_complement_coagulation_module",1.02093950709312,0.0996339017694841,2.40980785365382e-22,467,"score_z ~ diagnosis + age_z + sex",2.7712790317019e-21,1.02093950709312,0.0996339017694841,2.40980785365382e-22,467,"score_z ~ diagnosis + age_z + sex",2.7712790317019e-21,1,FALSE
"AD_GSE33000","hepatic_ECM_fibrosis_module",1.04971677403939,0.104557265642731,1.36815485251235e-21,467,"score_z ~ diagnosis + age_z + sex",1.04891872025947e-20,1.04971677403939,0.104557265642731,1.36815485251235e-21,467,"score_z ~ diagnosis + age_z + sex",1.04891872025947e-20,1,FALSE
"AD_GSE33000","hepatic_endothelial_vascular_activation_module",0.993211697953335,0.104781098048524,1.34026697967581e-19,467,"score_z ~ diagnosis + age_z + sex",4.40373436179196e-19,0.993211697953335,0.104781098048524,1.34026697967581e-19,467,"score_z ~ diagnosis + age_z + sex",4.40373436179196e-19,1,FALSE
"AD_GSE33000","hepatic_inflammatory_module",1.03087932471304,0.106102249127364,1.97066044134605e-20,467,"score_z ~ diagnosis + age_z + sex",9.06503803019185e-20,1.03087932471304,0.106102249127364,1.97066044134605e-20,467,"score_z ~ diagnosis + age_z + sex",9.06503803019185e-20,1,FALSE
"AD_GSE33000","hepatic_lipid_dysregulation_module",0.237918279401441,0.123473427507689,0.0546064216105311,467,"score_z ~ diagnosis + age_z + sex",0.0627973848521108,0.237918279401441,0.123473427507689,0.0546064216105311,467,"score_z ~ diagnosis + age_z + sex",0.0627973848521108,1,FALSE
"AD_GSE33000","hepatic_mitochondrial_dysfunction_module",-1.18975145294797,0.104963021111511,1.88286889049975e-26,467,"score_z ~ diagnosis + age_z + sex",4.33059844814942e-25,-1.18975145294797,0.104963021111511,1.88286889049975e-26,467,"score_z ~ diagnosis + age_z + sex",4.33059844814942e-25,1,FALSE
"AD_GSE33000","hepatic_secretome_hepatokine_module",0.889414320162789,0.11051969016125,7.16737839274186e-15,467,"score_z ~ diagnosis + age_z + sex",1.64849703033063e-14,0.889414320162789,0.11051969016125,7.16737839274186e-15,467,"score_z ~ diagnosis + age_z + sex",1.64849703033063e-14,1,FALSE
"AD_GSE33000","WGCNA_black",0.20497332213437,0.132009063579659,0.121172914195674,467,"score_z ~ diagnosis + age_z + sex",0.132713191738119,0.20497332213437,0.132009063579659,0.121172914195674,467,"score_z ~ diagnosis + age_z + sex",0.132713191738119,1,FALSE
"AD_GSE33000","WGCNA_blue",0.506325419721123,0.12435709936817,5.49247380336966e-05,467,"score_z ~ diagnosis + age_z + sex",7.43099396926484e-05,0.506325419721123,0.12435709936817,5.49247380336966e-05,467,"score_z ~ diagnosis + age_z + sex",7.43099396926484e-05,1,FALSE
"AD_GSE33000","WGCNA_brown",0.0954658238672029,0.12618240010403,0.449692287410528,467,"score_z ~ diagnosis + age_z + sex",0.449692287410528,0.0954658238672029,0.12618240010403,0.449692287410528,467,"score_z ~ diagnosis + age_z + sex",0.449692287410528,1,FALSE
"AD_GSE33000","WGCNA_cyan",-0.618112971975582,0.11799721840472,2.46453758969739e-07,467,"score_z ~ diagnosis + age_z + sex",4.04888318307428e-07,-0.618112971975582,0.11799721840472,2.46453758969739e-07,467,"score_z ~ diagnosis + age_z + sex",4.04888318307428e-07,1,FALSE
"AD_GSE33000","WGCNA_green",-0.986868284071845,0.112329946841959,3.05197743546431e-17,467,"score_z ~ diagnosis + age_z + sex",7.79949789063102e-17,-0.986868284071845,0.112329946841959,3.05197743546431e-17,467,"score_z ~ diagnosis + age_z + sex",7.79949789063102e-17,1,FALSE
"AD_GSE33000","WGCNA_greenyellow",-0.589677444728654,0.125868250701686,3.68769751307102e-06,467,"score_z ~ diagnosis + age_z + sex",5.30106517503958e-06,-0.589677444728654,0.125868250701686,3.68769751307102e-06,467,"score_z ~ diagnosis + age_z + sex",5.30106517503958e-06,1,FALSE
"AD_GSE33000","WGCNA_lightcyan",-0.548375598208872,0.116974743714749,3.63470981291775e-06,467,"score_z ~ diagnosis + age_z + sex",5.30106517503958e-06,-0.548375598208872,0.116974743714749,3.63470981291775e-06,467,"score_z ~ diagnosis + age_z + sex",5.30106517503958e-06,1,FALSE
"AD_GSE33000","WGCNA_magenta",-0.789593902138389,0.116545448083969,3.79194126428394e-11,467,"score_z ~ diagnosis + age_z + sex",7.9286044616846e-11,-0.789593902138389,0.116545448083969,3.79194126428394e-11,467,"score_z ~ diagnosis + age_z + sex",7.9286044616846e-11,1,FALSE
"AD_GSE33000","WGCNA_pink",0.694060777158554,0.121898969438747,2.21032947411584e-08,467,"score_z ~ diagnosis + age_z + sex",3.91058291574341e-08,0.694060777158554,0.121898969438747,2.21032947411584e-08,467,"score_z ~ diagnosis + age_z + sex",3.91058291574341e-08,1,FALSE
"AD_GSE33000","WGCNA_purple",-1.09960246314571,0.113096156380864,1.8640830514923e-20,467,"score_z ~ diagnosis + age_z + sex",9.06503803019185e-20,-1.09960246314571,0.113096156380864,1.8640830514923e-20,467,"score_z ~ diagnosis + age_z + sex",9.06503803019185e-20,1,FALSE
