"dataset_id","module","comparison_mapping","beta_legacy","SE_legacy","P_legacy","BH_FDR_legacy","beta_comparator","SE_comparator","P_comparator","BH_FDR_comparator","sample_n","formula","module_score_correlation","FDR_status_change"
"AD_GSE48350","hepatic_acute_phase_response_module","strict_max_mean",0.0323545963802891,0.179286415991346,0.857219335986887,0.894489741899361,0.0396085748599476,0.177318010389991,0.823779081546078,0.859595563352429,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.998936586644745,FALSE
"AD_GSE48350","hepatic_complement_coagulation_module","strict_max_mean",-0.0503473124994388,0.178833194883368,0.779000681761777,0.89028649344203,-0.0469696646210571,0.179588680660802,0.794320830387014,0.859595563352429,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.998510999329802,FALSE
"AD_GSE48350","hepatic_ECM_fibrosis_module","strict_max_mean",0.128164991156824,0.17242499114352,0.459512048215333,0.733279517271373,0.130029552691596,0.173250997345858,0.455175645187361,0.73905184944501,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.999677033197848,FALSE
"AD_GSE48350","hepatic_endothelial_vascular_activation_module","strict_max_mean",-0.0456282905449032,0.200756535742169,0.820766526335212,0.894489741899361,-0.0573969238459434,0.201517700307231,0.776492820660275,0.859595563352429,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.999642366489325,FALSE
"AD_GSE48350","hepatic_inflammatory_module","strict_max_mean",0.14998322997667,0.184097832567881,0.41754801041957,0.715796589290692,0.145269857474049,0.184636580297948,0.433614423973814,0.73905184944501,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.999775439559367,FALSE
"AD_GSE48350","hepatic_lipid_dysregulation_module","strict_max_mean",-0.414192686068986,0.204567824063787,0.0460589298655126,0.221082863354461,-0.403378870739706,0.202716165169221,0.0498426480701498,0.239244710736719,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.997370499617446,FALSE
"AD_GSE48350","hepatic_mitochondrial_dysfunction_module","strict_max_mean",-0.474359965809538,0.192881736268035,0.0161175231686821,0.193410278024186,-0.471499179453491,0.194024955326707,0.0173649902389817,0.138919921911854,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.999024526332097,FALSE
"AD_GSE48350","hepatic_secretome_hepatokine_module","strict_max_mean",0.139238302865041,0.156767578347158,0.377103381904329,0.696190858900299,0.112364853143156,0.154693378910998,0.46973579218119,0.73905184944501,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.996537360000732,FALSE
"AD_GSE48350","WGCNA_black","strict_max_mean",0.160576675738867,0.174556610706896,0.360341293643788,0.696190858900299,0.177612027166743,0.175848595169155,0.315492451122554,0.630984902245109,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.999275546001395,FALSE
"AD_GSE48350","WGCNA_blue","strict_max_mean",-0.306098686344042,0.187912266040613,0.107396987705253,0.368218243560867,-0.308841215977878,0.188266035518458,0.104981846572901,0.419927386291605,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.999804375823017,FALSE
