"module","gene"
"hepatic_complement_coagulation_module","PLAT"
"hepatic_complement_coagulation_module","PLAU"
"hepatic_complement_coagulation_module","PLG"
"hepatic_complement_coagulation_module","SERPINE1"
"hepatic_complement_coagulation_module","SERPINF2"
"hepatic_complement_coagulation_module","KNG1"
"hepatic_complement_coagulation_module","KLKB1"
"hepatic_complement_coagulation_module","GP1BA"
"hepatic_complement_coagulation_module","GP5"
"hepatic_complement_coagulation_module","GP9"
"hepatic_complement_coagulation_module","ITGA2B"
"hepatic_complement_coagulation_module","ITGB3"
"hepatic_complement_coagulation_module","VWF"
"hepatic_complement_coagulation_module","ADAMTS13"
"hepatic_lipid_dysregulation_module","ACACA"
"hepatic_lipid_dysregulation_module","ACACB"
"hepatic_lipid_dysregulation_module","ACADM"
"hepatic_lipid_dysregulation_module","ACADS"
"hepatic_lipid_dysregulation_module","ACADL"
"hepatic_lipid_dysregulation_module","ACADVL"
"hepatic_lipid_dysregulation_module","ACLY"
"hepatic_lipid_dysregulation_module","ADIPOR1"
"hepatic_lipid_dysregulation_module","ADIPOR2"
"hepatic_lipid_dysregulation_module","AMPD2"
"hepatic_lipid_dysregulation_module","ANGPTL4"
"hepatic_lipid_dysregulation_module","APOB"
"hepatic_lipid_dysregulation_module","APOC3"
"hepatic_lipid_dysregulation_module","CPT1A"
"hepatic_lipid_dysregulation_module","CPT2"
"hepatic_lipid_dysregulation_module","CYP4A11"
"hepatic_lipid_dysregulation_module","CYP4A22"
"hepatic_lipid_dysregulation_module","DGAT1"
"hepatic_lipid_dysregulation_module","DGAT2"
"hepatic_lipid_dysregulation_module","EHHADH"
"hepatic_lipid_dysregulation_module","ELOVL6"
"hepatic_lipid_dysregulation_module","FABP1"
"hepatic_lipid_dysregulation_module","FABP2"
"hepatic_lipid_dysregulation_module","FABP4"
"hepatic_lipid_dysregulation_module","FABP5"
"hepatic_lipid_dysregulation_module","FASN"
"hepatic_lipid_dysregulation_module","HADHA"
"hepatic_lipid_dysregulation_module","HADHB"
"hepatic_lipid_dysregulation_module","HMGCS1"
"hepatic_lipid_dysregulation_module","HMGCS2"
"hepatic_lipid_dysregulation_module","HSD17B4"
"hepatic_lipid_dysregulation_module","ILK"
"hepatic_lipid_dysregulation_module","IRS2"
"hepatic_lipid_dysregulation_module","LEP"
"hepatic_lipid_dysregulation_module","LEPR"
"hepatic_lipid_dysregulation_module","LPL"
"hepatic_lipid_dysregulation_module","ME1"
"hepatic_lipid_dysregulation_module","MLXIPL"
"hepatic_lipid_dysregulation_module","MMP1"
"hepatic_lipid_dysregulation_module","PCK1"
"hepatic_lipid_dysregulation_module","PCK2"
"hepatic_lipid_dysregulation_module","PDK4"
"hepatic_lipid_dysregulation_module","PDP2"
"hepatic_lipid_dysregulation_module","PPARA"
"hepatic_lipid_dysregulation_module","PPARG"
"hepatic_lipid_dysregulation_module","PPARGC1A"
"hepatic_lipid_dysregulation_module","PPARGC1B"
"hepatic_lipid_dysregulation_module","PRKAA1"
"hepatic_lipid_dysregulation_module","PRKAA2"
"hepatic_lipid_dysregulation_module","RXRA"
"hepatic_lipid_dysregulation_module","SCD"
"hepatic_lipid_dysregulation_module","SLC27A1"
"hepatic_lipid_dysregulation_module","SLC27A4"
"hepatic_lipid_dysregulation_module","SLC27A5"
"hepatic_lipid_dysregulation_module","SREBF1"
"hepatic_lipid_dysregulation_module","SREBF2"
"hepatic_lipid_dysregulation_module","THRSP"
"hepatic_lipid_dysregulation_module","UCP1"
"hepatic_lipid_dysregulation_module","UCP2"
"hepatic_lipid_dysregulation_module","UCP3"
"hepatic_lipid_dysregulation_module","GPAM"
