"relative_path","baseline_sha256","final_sha256","baseline_size_bytes","final_size_bytes","hash_status","error"
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238803.CHP.gz","6e6a059c8debc3902791f6c9235f6c3043e18f1a0435fe67925ac946a7962ca2","6e6a059c8debc3902791f6c9235f6c3043e18f1a0435fe67925ac946a7962ca2","312155","312155","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238804.CEL.gz","87de38aea53e92829d12f7c94515bfdeb70771c32dc427fe56a343fc24ce07cb","87de38aea53e92829d12f7c94515bfdeb70771c32dc427fe56a343fc24ce07cb","4516042","4516042","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238804.CHP.gz","66f8c02b809a080d3a59913d4bdf740727a0d65a92f91fceb947d3c3f22089fa","66f8c02b809a080d3a59913d4bdf740727a0d65a92f91fceb947d3c3f22089fa","309808","309808","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238805.CEL.gz","7cb7d41aeff88c9fa0a0a4fff0e559be659cf8a044153f81310f6c76524f1118","7cb7d41aeff88c9fa0a0a4fff0e559be659cf8a044153f81310f6c76524f1118","4378924","4378924","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238805.CHP.gz","ce9ff2f03d479c975f68c29e8d8358d19e0a4ee0d8deadcf8bdcd189b4071e8a","ce9ff2f03d479c975f68c29e8d8358d19e0a4ee0d8deadcf8bdcd189b4071e8a","310587","310587","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238806.CEL.gz","eb8e48b9fa4c91962612ee0afcbc4ea1df2e29ca436f6a18256b9061f9ec1aa6","eb8e48b9fa4c91962612ee0afcbc4ea1df2e29ca436f6a18256b9061f9ec1aa6","4351921","4351921","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238806.CHP.gz","1b26f532e68e8ace680fd9c8c5f6403cce8310119eb39aaef8f4027a50a2b5b4","1b26f532e68e8ace680fd9c8c5f6403cce8310119eb39aaef8f4027a50a2b5b4","310727","310727","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238807.CEL.gz","a2a57c45cee29aaa80b73cc5ad8099e6f5b7d7bdb8cf980f7bc705797e5660ac","a2a57c45cee29aaa80b73cc5ad8099e6f5b7d7bdb8cf980f7bc705797e5660ac","4325660","4325660","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238807.CHP.gz","ccbebf53ec20f48e6e4c751d636e7dae850d5e8f647537f49af5f16c31cb6d3d","ccbebf53ec20f48e6e4c751d636e7dae850d5e8f647537f49af5f16c31cb6d3d","310799","310799","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238808.CEL.gz","c3b1e0561b49cb6c2f76eddbedc801d7473f2486fead2203cf2c8372f16de228","c3b1e0561b49cb6c2f76eddbedc801d7473f2486fead2203cf2c8372f16de228","4159461","4159461","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238808.CHP.gz","c849fd0d6d647691af8908a8d186ecf2ba9beb98e856f9c162fde6809688ac48","c849fd0d6d647691af8908a8d186ecf2ba9beb98e856f9c162fde6809688ac48","315240","315240","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238809.CEL.gz","b2a19464754cdfa290d3a370f619022c55c3668f4861ef4c9eca6ae38af3f316","b2a19464754cdfa290d3a370f619022c55c3668f4861ef4c9eca6ae38af3f316","4308588","4308588","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238809.CHP.gz","96a71bc7918ccdc0fa5a0f92c783385b6254fd17864a6450f7a1dce53e55deee","96a71bc7918ccdc0fa5a0f92c783385b6254fd17864a6450f7a1dce53e55deee","313120","313120","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238810.CEL.gz","f0937e8bb846e0ce5f82f953393d51498b8804e05672c1baa25e1b1596e9cb3e","f0937e8bb846e0ce5f82f953393d51498b8804e05672c1baa25e1b1596e9cb3e","4372389","4372389","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238810.CHP.gz","4266ff0de93d3a700cdde4bd9a745c9175e86575f4ef3bcb0acceaba563f5265","4266ff0de93d3a700cdde4bd9a745c9175e86575f4ef3bcb0acceaba563f5265","312466","312466","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238811.CEL.gz","6ab07f4d6428c3f72bafe11f275ee75b09e127d210deffbed260a605f0cf1dd9","6ab07f4d6428c3f72bafe11f275ee75b09e127d210deffbed260a605f0cf1dd9","4461007","4461007","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238811.CHP.gz","b055626adfba3a28cd38c48263e21d86c176a5445575b780da0fe527b27c1fd0","b055626adfba3a28cd38c48263e21d86c176a5445575b780da0fe527b27c1fd0","311367","311367","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238812.CEL.gz","2dfacebf56eab1962c91f5db9cb277a23a4b7496ddbe39acc409cbbdc17f4ad8","2dfacebf56eab1962c91f5db9cb277a23a4b7496ddbe39acc409cbbdc17f4ad8","4356122","4356122","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238812.CHP.gz","49164616299dbbb6097c598c4556174b06d624cef309439062db532783f84f88","49164616299dbbb6097c598c4556174b06d624cef309439062db532783f84f88","312920","312920","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238813.CEL.gz","84a032efc11dd65b384df59b078d3b708875cec8222868682baf6e300c7ea3b4","84a032efc11dd65b384df59b078d3b708875cec8222868682baf6e300c7ea3b4","4219002","4219002","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238813.CHP.gz","9e9558e172e02299a898034f907e44325764a8ff7255cd0904401641442b8c68","9e9558e172e02299a898034f907e44325764a8ff7255cd0904401641442b8c68","312999","312999","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238815.CEL.gz","ebb6e5086251c358444b6dc02f4e6ba8e2ecc58612d5ed3ab0c0905199bd7c08","ebb6e5086251c358444b6dc02f4e6ba8e2ecc58612d5ed3ab0c0905199bd7c08","4439088","4439088","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238815.CHP.gz","9229fe4cea9d5180dc101e9c5140ea0d45a15efcd6e31f7c7704fe8b27663701","9229fe4cea9d5180dc101e9c5140ea0d45a15efcd6e31f7c7704fe8b27663701","311591","311591","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238816.CEL.gz","5fd1ca8e4084ac39ea89128afd183c9368a5bc1d32ebd30f0354b7734247a8d7","5fd1ca8e4084ac39ea89128afd183c9368a5bc1d32ebd30f0354b7734247a8d7","4501473","4501473","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238816.CHP.gz","1c84859848803bab9d7d5bf24ab8e656dfdca16ef85f864212427bf363241bd1","1c84859848803bab9d7d5bf24ab8e656dfdca16ef85f864212427bf363241bd1","309220","309220","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238817.CEL.gz","f459b6dddeaf7c9a411f8fb8a02fc50106d062e033029430d8beaafbe08aad85","f459b6dddeaf7c9a411f8fb8a02fc50106d062e033029430d8beaafbe08aad85","4383847","4383847","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238817.CHP.gz","ab8108287af1a156450d61e6010acd443a490ed036a8c7ac43a893fb527615e7","ab8108287af1a156450d61e6010acd443a490ed036a8c7ac43a893fb527615e7","311005","311005","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238818.CEL.gz","726bb5f0c86b3ee0317c87213bbee179e3d656a32e1b7407de6dfd6672c7c930","726bb5f0c86b3ee0317c87213bbee179e3d656a32e1b7407de6dfd6672c7c930","4688856","4688856","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238818.CHP.gz","bced6a4cf2719844c39b795dc4f55bb31a5e36b3703c6a7e9572c74aa68f3677","bced6a4cf2719844c39b795dc4f55bb31a5e36b3703c6a7e9572c74aa68f3677","309096","309096","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238819.CEL.gz","c92e40b01acf0b994462274e92ecbba63399b143ee02e7b227a6cfa6eefb2ffd","c92e40b01acf0b994462274e92ecbba63399b143ee02e7b227a6cfa6eefb2ffd","4340920","4340920","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238819.CHP.gz","bf1c638e5d3ee13fca403ec65d9da5d305785a3294a0914cdee99b20d49bb104","bf1c638e5d3ee13fca403ec65d9da5d305785a3294a0914cdee99b20d49bb104","311683","311683","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238820.CEL.gz","1c77193553f3a3c34eafb77296ac2ea5fe769efde13a212ba58e39059326a2cc","1c77193553f3a3c34eafb77296ac2ea5fe769efde13a212ba58e39059326a2cc","4421049","4421049","unchanged",""
